"Mês/Ano";"Valor Transferido";"Programa Social";
"08/2024";"318.290,00";"Garantia-Safra";
"07/2024";"530.940,00";"Garantia-Safra";
"02/2024";"1.695.850,00";"Garantia-Safra";
"06/2024";"2.494.010,00";"Garantia-Safra";
"09/2024";"32.818.500,00";"Auxílio Reconstrução";
"05/2024";"70.259.290,00";"Garantia-Safra";
"08/2024";"110.812.800,00";"Auxílio Reconstrução";
"09/2024";"121.794.709,87";"Seguro Defeso";
"05/2024";"169.702.500,00";"Auxílio Reconstrução";
"08/2024";"264.684.126,66";"Seguro Defeso";
"04/2024";"287.289.330,00";"Garantia-Safra";
"07/2024";"343.332.069,49";"Seguro Defeso";
"06/2024";"382.165.092,42";"Seguro Defeso";
"03/2024";"460.838.070,00";"Garantia-Safra";
"07/2024";"477.594.600,00";"Auxílio Reconstrução";
"05/2024";"554.282.189,53";"Seguro Defeso";
"01/2024";"745.794.173,77";"Seguro Defeso";
"04/2024";"861.261.868,99";"Seguro Defeso";
"06/2024";"1.033.147.800,00";"Auxílio Reconstrução";
"03/2024";"1.071.967.383,84";"Seguro Defeso";
"02/2024";"1.098.319.875,77";"Seguro Defeso";
"01/2024";"8.113.604.161,77";"BPC";
"02/2024";"8.179.211.579,41";"BPC";
"03/2024";"8.247.920.733,43";"BPC";
"04/2024";"8.323.710.978,86";"BPC";
"05/2024";"8.411.253.263,42";"BPC";
"06/2024";"8.508.476.738,86";"BPC";
"07/2024";"8.587.291.037,63";"BPC";
"08/2024";"8.640.071.656,52";"BPC";
"09/2024";"8.723.249.700,33";"BPC";
"06/2024";"13.293.759.996,00";"Novo Bolsa Família";
"05/2024";"13.339.378.312,00";"Novo Bolsa Família";
"03/2024";"13.373.651.126,00";"Novo Bolsa Família";
"04/2024";"13.377.084.379,00";"Novo Bolsa Família";
"01/2024";"13.725.109.346,00";"Novo Bolsa Família";
"02/2024";"13.800.467.937,00";"Novo Bolsa Família";
